;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International Migrant Stock 2020: Destination and origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Table 4: International migrant stock at mid-year, both sexes combined, by region of destination and origin, 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;POP/DB/MIG/Stock/Rev.2020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International migrant stock at mid-year by major area or region of origin, 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Region, development group of destination;;;WORLD;  Sub-Saharan Africa;  Northern Africa and Western Asia;  Central and Southern Asia;  Eastern and South-Eastern Asia;  Latin America and the Caribbean;  Oceania (excluding Australia and New Zealand);  Australia and New Zealand;  Europe and Northern America;  Developed regions;  Less developed regions; Less developed regions, excluding least developed countries; Less developed regions, excluding China;  Least developed countries;  Land-locked Developing Countries (LLDC);  Small island developing States (SIDS);  High-income countries;  Middle-income countries; Upper-middle-income countries; Lower-middle-income countries;  Low-income countries; AFRICA;  Eastern Africa;  Middle Africa;  Northern Africa;  Southern Africa;  Western Africa; ASIA;  Central Asia;  Eastern Asia;  South-Eastern Asia;  Southern Asia;  Western Asia; EUROPE;  Eastern Europe;  Northern Europe;  Southern Europe;  Western Europe; LATIN AMERICA AND THE CARIBBEAN;  Caribbean;  Central America;  South America; NORTHERN AMERICA; OCEANIA ;  Australia and New Zealand;  Melanesia;  Micronesia;  Polynesia*;OTHER
Index;;Notes of destination;Location code of destination;900;947;1833;921;1832;1830;1835;927;1829;901;902;934;948;941;1636;1637;1503;1517;1502;1501;1500;903;910;911;912;913;914;935;5500;906;920;5501;922;908;923;924;925;926;904;915;916;931;905;909;927;928;954;957;2003
1;WORLD;;900;220 983 187;19 942 724;25 313 711;41 082 388;30 977 206;34 637 650; 441 903;1 149 265;58 681 104;60 587 161;151 638 790;116 141 091;141 938 473;35 497 699;27 740 905;9 401 155;45 649 196;144 581 899;74 175 415;70 406 484;21 718 616;29 193 852;7 524 192;3 007 543;9 251 128;1 199 813;8 211 176;88 122 177;7 232 295;12 863 294;18 113 912;33 850 093;16 062 583;54 711 301;27 578 142;7 178 780;11 728 125;8 226 254;34 637 650;7 273 502;16 204 451;11 159 697;3 969 803;1 591 168;1 149 265; 204 278; 39 030; 198 595;8 757 236
2;  Sub-Saharan Africa;;947;15 854 637;12 954 574; 613 560; 121 267; 43 826; 17 434;  735; 10 093; 508 809; 521 341;13 748 957;3 021 578;13 718 837;10 727 379;5 567 288; 190 540; 557 096;4 856 430; 372 607;4 483 823;8 822 395;13 544 082;4 353 523;2 063 129; 589 508; 526 114;6 011 808; 189 145; 1 517; 36 639; 7 187; 119 750; 24 052; 482 707; 25 220; 155 281; 73 210; 228 996; 17 434; 7 528;  438; 9 468; 26 102; 10 828; 10 093;  82;  37;  616;1 584 339
3;  Northern Africa and Western Asia;;1833;32 638 434;1 237 662;11 660 246;12 620 065;2 965 584; 67 937;  3; 11 383;2 274 064;2 289 696;28 547 248;22 727 271;28 518 170;5 819 977;1 909 032; 21 028;1 599 769;25 415 582;5 800 092;19 615 490;3 677 421;4 373 963;1 032 100; 132 598;3 136 301; 18 102; 54 862;24 109 594; 92 069; 35 491;2 930 093;12 527 996;8 523 945;2 114 469;1 142 220; 167 796; 276 287; 528 166; 67 937;  292; 3 741; 63 904; 159 595; 11 386; 11 383;  3;..;..;1 801 490
