;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International Migrant Stock 2020: Destination and origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Table 5: International migrant stock at mid-year, both sexes combined, by region of destination and origin, 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;POP/DB/MIG/Stock/Rev.2020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International migrant stock at mid-year by major area or region of origin, 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Region, development group of destination;;;WORLD;  Sub-Saharan Africa;  Northern Africa and Western Asia;  Central and Southern Asia;  Eastern and South-Eastern Asia;  Latin America and the Caribbean;  Oceania (excluding Australia and New Zealand);  Australia and New Zealand;  Europe and Northern America;  Developed regions;  Less developed regions; Less developed regions, excluding least developed countries; Less developed regions, excluding China;  Least developed countries;  Land-locked Developing Countries (LLDC);  Small island developing States (SIDS);  High-income countries;  Middle-income countries; Upper-middle-income countries; Lower-middle-income countries;  Low-income countries; AFRICA;  Eastern Africa;  Middle Africa;  Northern Africa;  Southern Africa;  Western Africa; ASIA;  Central Asia;  Eastern Asia;  South-Eastern Asia;  Southern Asia;  Western Asia; EUROPE;  Eastern Europe;  Northern Europe;  Southern Europe;  Western Europe; LATIN AMERICA AND THE CARIBBEAN;  Caribbean;  Central America;  South America; NORTHERN AMERICA; OCEANIA ;  Australia and New Zealand;  Melanesia;  Micronesia;  Polynesia*;OTHER
Index;;Notes of destination;Location code of destination;900;947;1833;921;1832;1830;1835;927;1829;901;902;934;948;941;1636;1637;1503;1517;1502;1501;1500;903;910;911;912;913;914;935;5500;906;920;5501;922;908;923;924;925;926;904;915;916;931;905;909;927;928;954;957;2003
1;WORLD;;900;191 446 828;17 274 985;21 867 791;33 347 690;25 556 983;29 338 206; 407 138; 984 280;54 849 090;56 551 836;127 074 327;97 124 428;118 876 449;29 949 899;24 288 062;8 501 316;40 882 214;123 912 679;65 735 241;58 177 438;18 605 623;25 241 406;6 192 747;2 726 556;7 966 421; 904 614;7 451 068;72 806 043;6 918 899;11 019 974;14 537 009;26 428 791;13 901 370;51 336 984;25 554 786;6 780 094;11 535 218;7 466 886;29 338 206;6 506 671;13 978 650;8 852 885;3 512 106;1 391 418; 984 280; 177 020; 39 932; 190 186;7 820 665
2;  Sub-Saharan Africa;;947;14 290 369;11 723 891; 818 996; 75 963; 37 997; 9 240;  94; 6 825; 542 868; 551 191;12 664 683;2 402 601;12 634 982;10 262 082;5 115 586; 164 117; 576 651;4 161 144; 313 149;3 847 995;8 470 451;12 526 389;3 787 468;1 877 254; 802 498; 375 017;5 684 152; 130 458;  20; 33 217; 4 780; 75 943; 16 498; 516 257; 17 745; 208 024; 66 603; 223 885; 9 240; 3 004;  305; 5 931; 26 611; 6 919; 6 825;  57;  26;  11;1 074 495
