;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International Migrant Stock 2020: Destination and origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Table 6: International migrant stock at mid-year, both sexes combined, by region of destination and origin, 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;POP/DB/MIG/Stock/Rev.2020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International migrant stock at mid-year by major area or region of origin, 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Region, development group of destination;;;WORLD;  Sub-Saharan Africa;  Northern Africa and Western Asia;  Central and Southern Asia;  Eastern and South-Eastern Asia;  Latin America and the Caribbean;  Oceania (excluding Australia and New Zealand);  Australia and New Zealand;  Europe and Northern America;  Developed regions;  Less developed regions; Less developed regions, excluding least developed countries; Less developed regions, excluding China;  Least developed countries;  Land-locked Developing Countries (LLDC);  Small island developing States (SIDS);  High-income countries;  Middle-income countries; Upper-middle-income countries; Lower-middle-income countries;  Low-income countries; AFRICA;  Eastern Africa;  Middle Africa;  Northern Africa;  Southern Africa;  Western Africa; ASIA;  Central Asia;  Eastern Asia;  South-Eastern Asia;  Southern Asia;  Western Asia; EUROPE;  Eastern Europe;  Northern Europe;  Southern Europe;  Western Europe; LATIN AMERICA AND THE CARIBBEAN;  Caribbean;  Central America;  South America; NORTHERN AMERICA; OCEANIA ;  Australia and New Zealand;  Melanesia;  Micronesia;  Polynesia*;OTHER
Index;;Notes of destination;Location code of destination;900;947;1833;921;1832;1830;1835;927;1829;901;902;934;948;941;1636;1637;1503;1517;1502;1501;1500;903;910;911;912;913;914;935;5500;906;920;5501;922;908;923;924;925;926;904;915;916;931;905;909;927;928;954;957;2003
1;WORLD;;900;173 230 585;15 638 014;19 437 054;30 897 694;21 440 854;24 628 700; 375 176; 871 660;52 877 703;54 458 296;111 708 559;83 646 070;105 043 210;28 062 489;23 134 479;7 793 822;38 024 485;109 879 954;59 585 818;50 294 136;18 002 895;22 080 003;6 079 992;2 439 360;6 441 989; 732 312;6 386 350;65 333 613;6 462 345;9 352 688;12 088 166;24 435 349;12 995 065;49 727 784;23 820 659;6 422 540;12 651 345;6 833 240;24 628 700;5 966 487;12 228 703;6 433 510;3 149 919;1 246 836; 871 660; 150 371; 39 034; 185 771;7 063 730
2;  Sub-Saharan Africa;;947;13 151 229;11 091 197; 533 205; 57 476; 35 275; 8 183;  76; 5 418; 464 730; 471 455;11 724 105;1 910 799;11 695 996;9 813 306;4 861 917; 137 118; 490 565;3 653 833; 270 088;3 383 745;8 043 817;11 605 959;3 912 409;1 757 923; 514 762; 305 205;5 115 660; 111 194;..; 31 093; 4 182; 57 476; 18 443; 441 396; 14 932; 170 840; 53 747; 201 877; 8 183; 2 893;  235; 5 055; 23 334; 5 494; 5 418;  45;  22;  9; 955 669
3;  Northern Africa and Western Asia;;1833;20 321 397;1 130 342;7 874 636;5 954 934;1 672 811; 55 913;  2; 8 377;2 226 917;2 238 906;16 685 026;13 174 508;16 660 653;3 510 518;1 828 764; 17 289;1 465 155;14 697 626;3 850 951;10 846 675;2 595 196;3 289 880; 955 719; 116 378;2 159 538; 13 625; 44 620;13 342 843; 99 801; 29 765;1 643 046;5 855 133;5 715 098;2 103 623;1 271 212; 132 883; 244 420; 455 108; 55 913;  230; 2 899; 52 784; 123 294; 8 379; 8 377;  2;..;..;1 397 465
